Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1989,Peace,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,,,1935,,Lhamo Thondup,China,Taktser,,,,M,
1992,Peace,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,,,1959,,Rigoberta Mench£ Tum,Guatemala,Aldea Chimel,,,,F,
1902,Literature,the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>,,,1817,1903,Theodor Mommsen,Germany,Garding,Germany,Charlottenburg,,M,86
1919,Literature,in special appreciation of his epic <I>Olympian Spring</I>,,,1845,1924,Carl Spitteler,Switzerland,Liestal,Switzerland,Lucerne,,M,79
1970,Literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature,,,1918,2008,Alexandr Solzhenitsyn,Russia,Kislovodsk,Russia,Troitse-Lykovo,,M,90
1974,Literature,for a narrative art far-seeing in lands and ages in the service of freedom,,,1900,1976,Eyvind Johnson,Sweden,Svartbjîrnsbyn,Sweden,Stockholm,,M,76
1956,Chemistry,for their researches into the mechanism of chemical reactions,University of Oxford,Oxford,1897,1967,Sir Cyril Hinshelwood,United Kingdom,London,United Kingdom,London,United Kingdom,M,70
1962,Chemistry,for their studies of the structures of globular proteins,MRC Laboratory of Molecular Biology,Cambridge,1914,2002,Max F. Perutz,Austria,Vienna,United Kingdom,Cambridge,United Kingdom,M,88
1904,Medicine,in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged,Military Medical Academy,St. Petersburg,1849,1936,Ivan Pavlov,Russia,Ryazan,Russia,Leningrad,Russia,M,87
1922,Medicine,for his discovery relating to the production of heat in the muscle,London University,London,1886,1977,Archibald V. Hill,United Kingdom,Bristol,United Kingdom,Cambridge,United Kingdom,M,91
1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,University of Rochester,Rochester NY,1878,1976,George H. Whipple,USA,Ashland NH,USA,Rochester NY,USA,M,98
1963,Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Australian National University,Canberra,1903,1997,Sir John Eccles,Australia,Melbourne,Switzerland,Contra,Australia,M,94
2016,Peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,,,1951,,Juan Manuel Santos,Colombia,Bogot†,,,,M,
2017,Economics,for his contributions to behavioural economics,University of Chicago,Chicago IL,1945,,Richard H. Thaler,USA,East Orange NJ,,,USA,M,
2019,Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Harvard Medical School,Boston MA,1957,,William Kaelin,USA,New York NY,,,USA,M,
2019,Economics,for their experimental approach to alleviating global poverty,Massachusetts Institute of Technology (MIT),Cambridge MA,1972,,Esther Duflo,France,Paris,,,USA,F,
2022,Peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,,,,,Center for Civil Liberties,,,,,,,
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,High Energy Accelerator Research Organization (KEK),Tsukuba,1944,,Makoto Kobayashi,Japan,Nagoya,,,Japan,M,
2012,Chemistry,for studies of G-protein-coupled receptors,Stanford University School of Medicine,Stanford CA,1955,,Brian Kobilka,USA,Little Falls MN,,,USA,M,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Max Planck Institute for Biophysical Chemistry,Gîttingen,1962,,Stefan W. Hell,Romania,Arad,,,Germany,M,
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory,RÅschlikon,1950,,J. Georg Bednorz,Germany,Neuenkirchen,,,Switzerland,M,
1912,Chemistry,for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry,Nancy University,Nancy,1871,1935,Victor Grignard,France,Cherbourg,France,Lyon,France,M,64
1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes,Stockholm University,Stockholm,1885,1966,George de Hevesy,Hungary,Budapest,Germany,Freiburg im Breisgau,Sweden,M,81
1963,Peace,for promoting the principles of the Geneva Convention and cooperation with the UN,,,,,International Committee of the Red Cross,,,,,,,
1925,Peace,for his crucial role in bringing about the Dawes Plan,,,1865,1951,Charles G. Dawes,USA,Marietta OH,USA,Evanston IL,,M,86
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,,,1923,,Henry Kissinger,Germany,FÅrth,,,,M,
1909,Literature,in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings,,,1858,1940,Selma Lagerlîf,Sweden,MÜrbacka,Sweden,MÜrbacka,,F,82
1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,,,1888,1964,Frans Eemil SillanpÑÑ,Finland,HÑmeenkyrî,Finland,Helsinki,,M,76
1985,Literature,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,,,1913,2005,Claude Simon,Madagascar,Antananarivo,France,Paris,,M,92
1981,Economics,for his analysis of financial markets and their relations to expenditure decisions employment production and prices,Yale University,New Haven CT,1918,2002,James Tobin,USA,Champaign IL,USA,New Haven CT,USA,M,84
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,êcole municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,1859,1906,Pierre Curie,France,Paris,France,Paris,France,M,47
1924,Physics,for his discoveries and research in the field of X-ray spectroscopy,Uppsala University,Uppsala,1886,1978,Manne Siegbahn,Sweden,ôrebro,Sweden,Stockholm,Sweden,M,92
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,Halle University,Halle,1887,1975,Gustav Hertz,Germany,Hamburg,Germany,Berlin,Germany,M,88
1972,Physics,for their jointly developed theory of superconductivity usually called the BCS-theory,Brown University,Providence RI,1930,,Leon N. Cooper,USA,New York NY,,,USA,M,
1988,Medicine,for their discoveries of important principles for drug treatment,London University King's College Hospital Medical School,London,1924,2010,Sir James W. Black,Scotland,Uddingston,,,United Kingdom,M,86
2007,Peace,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,,,,,Intergovernmental Panel on Climate Change,,,,,,,
1984,Physics,for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction,CERN,Geneva,1934,,Carlo Rubbia,Italy,Gorizia,,,Switzerland,M,
1994,Physics,for the development of neutron spectroscopy,McMaster University,Hamilton Ontario,1918,2003,Bertram N. Brockhouse,Canada,Lethbridge Alberta,Canada,Hamilton Ontario,Canada,M,85
1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,University of Zurich,Zurich,1866,1919,Alfred Werner,France,Mulhouse,Switzerland,Zurich,Switzerland,M,53
1915,Chemistry,for his researches on plant pigments especially chlorophyll,Kaiser-Wilhelm-Institut (now Max-Planck Institut) fÅr Chemie,Berlin-Dahlem,1872,1942,Richard WillstÑtter,Germany,Karlsruhe,Switzerland,Locarno,Germany,M,70
1935,Chemistry,in recognition of their synthesis of new radioactive elements,Institut du Radium,Paris,1900,1958,FrÇdÇric Joliot,France,Paris,France,Paris,France,M,58
1939,Chemistry,for his work on polymethylenes and higher terpenes,Eidgenîssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,1887,1976,Leopold Ruzicka,Croatia,Vukovar,Switzerland,Zurich,Switzerland,M,89
2011,Medicine,for their discoveries concerning the activation of innate immunity,University of Texas Southwestern Medical Center at Dallas,Dallas TX,1957,,Bruce A. Beutler,USA,Chicago IL,,,USA,M,
2013,Medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,University of California,Berkeley CA,1948,,Randy W. Schekman,USA,St. Paul MN,,,USA,M,
2013,Chemistry,for the development of multiscale models for complex chemical systems,Stanford University School of Medicine,Stanford CA,1947,,Michael Levitt,South Africa,Pretoria,,,USA,M,
1954,Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,California Institute of Technology (Caltech),Pasadena CA,1901,1994,Linus Pauling,USA,Portland OR,USA,Big Sur CA,USA,M,93
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry,Imperial College,London,1918,1998,Derek Barton,United Kingdom,Gravesend,USA,College Station TX,United Kingdom,M,80
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,University of California,Los Angeles CA,1919,2001,Donald J. Cram,USA,Chester VT,USA,Palm Desert CA,USA,M,82
1990,Chemistry,for his development of the theory and methodology of organic synthesis,Harvard University,Cambridge MA,1928,,Elias James Corey,USA,Methuen MA,,,USA,M,
1906,Medicine,in recognition of their work on the structure of the nervous system,Madrid University,Madrid,1852,1934,Santiago Ram¢n y Cajal,Spain,Petilla de Arag¢n,Spain,Madrid,Spain,M,82
1929,Medicine,for his discovery of the antineuritic vitamin,Utrecht University,Utrecht,1858,1930,Christiaan Eijkman,Netherlands,Nijkerk,Netherlands,Utrecht,Netherlands,M,72
1937,Medicine,for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid,Szeged University,Szeged,1893,1986,Albert Szent-Gyîrgyi,Hungary,Budapest,USA,Woods Hole MA,Hungary,M,93
1962,Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,MRC Laboratory of Molecular Biology,Cambridge,1916,2004,Francis Crick,United Kingdom,Northampton,USA,San Diego CA,United Kingdom,M,88
1964,Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Harvard University,Cambridge MA,1912,2000,Konrad Bloch,Poland,Nysa,USA,Burlington MA,USA,M,88
1965,Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,1910,1976,Jacques Monod,France,Paris,France,Cannes,France,M,66
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,University of Lausanne,Lausanne,1942,,Jacques Dubochet,Switzerland,Aigle,,,Switzerland,M,
2018,Economics,for integrating climate change into long-run macroeconomic analysis,Yale University,New Haven CT,1941,,William D. Nordhaus,USA,Albuquerque NM,,,USA,M,
2002,Physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,University of Tokyo,Tokyo,1926,2020,Masatoshi Koshiba,Japan,Toyohashi,Japan,Tokyo,Japan,M,94
1993,Medicine,for their discoveries of split genes,New England Biolabs,Beverly MA,1943,,Richard J. Roberts,United Kingdom,Derby,,,USA,M,
2002,Chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,Eidgenîssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,1938,,Kurt WÅthrich,Switzerland,Aarberg,,,Switzerland,M,
2002,Economics,for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms,George Mason University,Fairfax VA,1927,,Vernon L. Smith,USA,Wichita KS,,,USA,M,
1901,Peace,for his humanitarian efforts to help wounded soldiers and create international understanding,,,1828,1910,Henry Dunant,Switzerland,Geneva,Switzerland,Heiden,,M,82
1910,Peace,for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement,,,,,Permanent International Peace Bureau,,,,,,,
1944,Peace,for the great work it has performed during the war on behalf of humanity,,,,,International Committee of the Red Cross,,,,,,,
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,,,1858,1941,Ludwig Quidde,Germany,Bremen,Switzerland,Geneva,,M,83
1951,Peace,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,,,1879,1954,LÇon Jouhaux,France,Paris,France,Paris,,M,75
1906,Literature,not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces,,,1835,1907,Giosuä Carducci,Italy,Val di Castello,Italy,Bologna,,M,72
1945,Literature,for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world,,,1889,1957,Gabriela Mistral,Chile,Vicu§a,USA,Hempstead NY,,F,68
1966,Literature,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,,,1888,1970,Shmuel Agnon,Ukraine,Buchach,Israel,Rehovot,,M,82
1980,Literature,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,,,1911,2004,Czeslaw Milosz,Lithuania,Seteniai,Poland,Krak¢w,,M,93
1983,Economics,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,University of California,Berkeley CA,1921,2004,Gerard Debreu,France,Calais,France,Paris,USA,M,83
1999,Economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,Columbia University,New York NY,1932,2021,Robert Mundell,Canada,Kingston ON,Italy,Siena,USA,M,89
2018,Literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,,,1962,,Olga Tokarczuk,Poland,Sulech¢w,,,,F,
2000,Medicine,for their discoveries concerning signal transduction in the nervous system,Gîteborg University,Gothenburg,1923,2018,Arvid Carlsson,Sweden,Uppsala,Sweden,Gothenburg,Sweden,M,95
1937,Chemistry,for his investigations on carbohydrates and vitamin C,Birmingham University,Birmingham,1883,1950,Norman Haworth,United Kingdom,Chorley,United Kingdom,Birmingham,United Kingdom,M,67
1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Leiden University,Leiden,1853,1928,Hendrik A. Lorentz,Netherlands,Arnhem,Netherlands,,Netherlands,M,75
1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Royal Institution of Great Britain,London,1842,1919,Lord Rayleigh,United Kingdom,Langford Grove Maldon Essex,United Kingdom,,United Kingdom,M,77
1909,Physics,in recognition of their contributions to the development of wireless telegraphy,Marconi Wireless Telegraph Co. Ltd.,London,1874,1937,Guglielmo Marconi,Italy,Bologna,Italy,Rome,United Kingdom,M,63
1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Swedish Gas-Accumulator Co.,Lidingî Stockholm,1869,1937,Gustaf DalÇn,Sweden,Stenstorp,Sweden,Stockholm,Sweden,M,68
1935,Physics,for the discovery of the neutron,Liverpool University,Liverpool,1891,1974,James Chadwick,United Kingdom,Manchester,United Kingdom,Cambridge,United Kingdom,M,83
1938,Physics,for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons,Rome University,Rome,1901,1954,Enrico Fermi,Italy,Rome,USA,Chicago IL,Italy,M,53
1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Harvard University,Cambridge MA,1912,1997,E. M. Purcell,USA,Taylorville IL,USA,Cambridge MA,USA,M,85
1964,Physics,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle,Massachusetts Institute of Technology (MIT),Cambridge MA,1915,2015,Charles H. Townes,USA,Greenville SC,USA,Berkeley CA,USA,M,100
1977,Medicine,for the development of radioimmunoassays of peptide hormones,Veterans Administration Hospital,Bronx NY,1921,2011,Rosalyn Yalow,USA,New York NY,USA,New York NY,USA,F,90
1978,Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Johns Hopkins University School of Medicine,Baltimore MD,1931,,Hamilton O. Smith,USA,New York NY,,,USA,M,
1981,Medicine,for their discoveries concerning information processing in the visual system,Harvard Medical School,Boston MA,1924,,Torsten N. Wiesel,Sweden,Uppsala,,,USA,M,
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Australian National University,Weston Creek,1967,,Brian P. Schmidt,USA,Missoula MT,,,Australia,M,
2011,Economics,for their empirical research on cause and effect in the macroeconomy,New York University,New York NY,1943,,Thomas J. Sargent,USA,Pasadena CA,,,USA,M,
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Colläge de France,Paris,1944,,Serge Haroche,Morocco,Casablanca,,,France,M,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Stanford University,Stanford CA,1953,,William E. Moerner,USA,Pleasanton CA,,,USA,M,
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,Brown University,Providence RI,1943,,J. Michael Kosterlitz,United Kingdom,Aberdeen,,,USA,M,
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,LIGO/VIRGO Collaboration,,1936,,Barry C. Barish,USA,Omaha NE,,,,M,
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,MRC Laboratory of Molecular Biology,Cambridge,1945,,Richard Henderson,Scotland,Edinburgh,,,United Kingdom,M,
2017,Literature,who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world,,,1954,,Kazuo Ishiguro,Japan,Nagasaki,,,,M,
2018,Economics,for integrating technological innovations into long-run macroeconomic analysis,NYU Stern School of Business,New York NY,,,Paul M. Romer,USA,Denver CO,,,USA,M,
2021,Economics,for their methodological contributions to the analysis of causal relationships,Massachusetts Institute of Technology (MIT),Cambridge MA,1960,,Joshua Angrist,USA,Columbus OH,,,USA,M,
2002,Economics,for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty,Princeton University,Princeton NJ,1934,,Daniel Kahneman,Israel,Tel Aviv,,,USA,M,
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,,,1949,,JosÇ Ramos-Horta,East Timor,Dili,,,,M,
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,,1944,2022,David Trimble,Northern Ireland,Belfast,Northern Ireland,Belfast,,M,78
1925,Literature,for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty,,,1856,1950,George Bernard Shaw,Ireland,Dublin,United Kingdom,Ayot St. Lawrence,,M,94
1931,Literature,The poetry of Erik Axel Karlfeldt,,,1864,1931,Erik Axel Karlfeldt,Sweden,Karlbo,Sweden,Stockholm,,M,67
1957,Literature,for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times,,,1913,1960,Albert Camus,Algeria,Mondovi,France,Sens,,M,47
1963,Literature,for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture,,,1900,1971,Giorgos Seferis,Turkey,Izmir,Greece,Athens,,M,71
1991,Literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,,,1923,2014,Nadine Gordimer,South Africa,Springs,South Africa,Johannesburg,,F,91
1913,Physics,for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium,Leiden University,Leiden,1853,1926,Heike Kamerlingh Onnes,Netherlands,Groningen,Netherlands,Leiden,Netherlands,M,73
1959,Physics,for their discovery of the antiproton,University of California,Berkeley CA,1905,1989,Emilio Segrä,Italy,Tivoli,USA,Lafayette CA,USA,M,84
1965,Physics,for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles,Tokyo University of Education,Tokyo,1906,1979,Sin-Itiro Tomonaga,Japan,Kyoto,Japan,Tokyo,Japan,M,73
1968,Physics,for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis,University of California,Berkeley CA,1911,1988,Luis Alvarez,USA,San Francisco CA,USA,Berkeley CA,USA,M,77
1978,Physics,for their discovery of cosmic microwave background radiation,Bell Laboratories,Holmdel NJ,1933,,Arno Penzias,Germany,Munich,,,USA,M,
1992,Physics,for his invention and development of particle detectors in particular the multiwire proportional chamber,êcole SupÇrieure de Physique et Chimie,Paris,1924,2010,Georges Charpak,Poland,Dabrovica,France,Paris,France,M,86
1995,Physics,for the discovery of the tau lepton,Stanford University,Stanford CA,1927,2014,Martin L. Perl,USA,New York NY,USA,Palo Alto CA,USA,M,87
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,University of Heidelberg,Heidelberg,1884,1949,Friedrich Bergius,Poland,Goldschmieden near Breslau,Argentina,Buenos Aires,Germany,M,65
1977,Chemistry,for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures,UniversitÇ Libre de Bruxelles,Brussels,1917,2003,Ilya Prigogine,Russia,Moscow,Belgium,Brussels,Belgium,M,86
1982,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,MRC Laboratory of Molecular Biology,Cambridge,1926,2018,Aaron Klug,Lithuania,Zelvas,,,United Kingdom,M,92
1908,Medicine,in recognition of their work on immunity,Institut Pasteur,Paris,1845,1916,Ilya Mechnikov,Ukraine,Kharkiv,France,Paris,France,M,71
1936,Medicine,for their discoveries relating to chemical transmission of nerve impulses,Graz University,Graz,1873,1961,Otto Loewi,Germany,Frankfurt-on-the-Main,USA,New York NY,Austria,M,88
1948,Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,1899,1965,Paul MÅller,Switzerland,Olten,Switzerland,Basel,Switzerland,M,66
1952,Medicine,for his discovery of streptomycin the first antibiotic effective against tuberculosis,Rutgers University,New Brunswick NJ,1888,1973,Selman A. Waksman,Ukraine,Nova Pryluka,USA,Hyannis MA,USA,M,85
1939,Physics,for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements,University of California,Berkeley CA,1901,1958,Ernest Lawrence,USA,Canton SD,USA,Palo Alto CA,USA,M,57
1946,Physics,for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics,Harvard University,Cambridge MA,1882,1961,Percy W. Bridgman,USA,Cambridge MA,USA,Randolph NH,USA,M,79
1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Department of Scientific and Industrial Research,London,1892,1965,Edward V. Appleton,United Kingdom,Bradford,Scotland,Edinburgh,United Kingdom,M,73
1959,Physics,for their discovery of the antiproton,University of California,Berkeley CA,1920,2006,Owen Chamberlain,USA,San Francisco CA,USA,Berkeley CA,USA,M,86
1964,Physics,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle,P.N. Lebedev Physical Institute,Moscow,1916,2002,Aleksandr M. Prokhorov,Australia,Atherton,Russia,Moscow,Russia,M,86
1973,Physics,for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively,IBM Thomas J. Watson Research Center,Yorktown Heights NY,1925,,Leo Esaki,Japan,Osaka,,,USA,M,
1926,Peace,for their crucial role in bringing about the Locarno Treaty,,,1878,1929,Gustav Stresemann,Germany,Berlin,Germany,Berlin,,M,51
1947,Peace,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,,,,,American Friends Service Committee,,,,,,,
1981,Peace,for promoting the fundamental rights of refugees,,,1950,,Office of the United Nations High Commissioner for Refugees,,,,,,,
1982,Peace,for their work for disarmament and nuclear and weapon-free zones,,,1911,1991,Alfonso Garc°a Robles,Mexico,Zamora,Mexico,Mexico City,,M,80
1908,Literature,in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life,,,1846,1926,Rudolf Eucken,Germany,Aurich,Germany,Jena,,M,80
1926,Literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,,,1871,1936,Grazia Deledda,Italy,Nuoro Sardinia,Italy,Rome,,F,65
1933,Literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,,,1870,1953,Ivan Bunin,Russia,Voronezh,France,Paris,,M,83
1960,Literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,,,1887,1975,Saint-John Perse,Guadeloupe Island,Pointe-Ö-Pitre,France,Presqu'åle-de-Giens,,M,88
1995,Literature,for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past,,,1939,2013,Seamus Heaney,Northern Ireland,CasteldÖwson,Ireland,Dublin,,M,74
1980,Economics,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,University of Pennsylvania,Philadelphia PA,1920,2013,Lawrence R. Klein,USA,Omaha NE,USA,Gladwyne PA,USA,M,93
1990,Economics,for their pioneering work in the theory of financial economics,City University of New York,New York NY,1927,2023,Harry M. Markowitz,USA,Chicago IL,USA,San Diego CA,USA,M,96
2000,Medicine,for their discoveries concerning signal transduction in the nervous system,Rockefeller University,New York NY,1925,2019,Paul Greengard,USA,New York NY,USA,New York NY,USA,M,94
2000,Chemistry,for the discovery and development of conductive polymers,University of Tsukuba,Tsukuba,1936,,Hideki Shirakawa,Japan,Tokyo,,,Japan,M,
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Kyoto Sangyo University,Kyoto,1940,2021,Toshihide Maskawa,Japan,Nagoya,Japan,Kyoto,Japan,M,81
2010,Medicine,for the development of in vitro fertilization,University of Cambridge,Cambridge,1925,2013,Robert G. Edwards,United Kingdom,Batley,United Kingdom,Cambridge,United Kingdom,M,88
2011,Medicine,for his discovery of the dendritic cell and its role in adaptive immunity,Rockefeller University,New York NY,1943,2011,Ralph M. Steinman,Canada,Montreal,USA,New York NY,USA,M,68
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Lawrence Berkeley National Laboratory,Berkeley CA,,,Saul Perlmutter,USA,Champaign-Urbana IL,,,USA,M,
2012,Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Gurdon Institute,Cambridge,1933,,Sir John B. Gurdon,United Kingdom,Dippenhall,,,United Kingdom,M,
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,,,1954,,Kailash Satyarthi,India,Vidisha,,,,M,
2015,Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Drew University,Madison NJ,1930,,William C. Campbell,Ireland,Ramelton,,,USA,M,
2016,Literature,for having created new poetic expressions within the great American song tradition,,,1941,,Bob Dylan,USA,Duluth MN,,,,M,
2019,Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Johns Hopkins University,Baltimore MD,1956,,Gregg Semenza,USA,New York NY,,,USA,M,
1982,Medicine,for their discoveries concerning prostaglandins and related biologically active substances,Karolinska Institutet,Stockholm,1934,,Bengt I. Samuelsson,Sweden,Halmstad,,,Sweden,M,
1981,Physics,for his contribution to the development of high-resolution electron spectroscopy,Uppsala University,Uppsala,1918,2007,Kai M. Siegbahn,Sweden,Lund,Sweden,éngelholm,Sweden,M,89
1990,Physics,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics,Massachusetts Institute of Technology (MIT),Cambridge MA,1926,1999,Henry W. Kendall,USA,Boston MA,USA,Wakulla Springs State Park FL,USA,M,73
1993,Physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,Princeton University,Princeton NJ,1941,,Joseph H. Taylor Jr.,USA,Philadelphia PA,,,USA,M,
1906,Chemistry,in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him,Sorbonne University,Paris,1852,1907,Henri Moissan,France,Paris,France,Paris,France,M,55
1937,Chemistry,for his investigations on carotenoids flavins and vitamins A and B2,University of Zurich,Zurich,1889,1971,Paul Karrer,Russia,Moscow,Switzerland,Zurich,Switzerland,M,82
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions,,,1917,2012,William Knowles,USA,Taunton MA,USA,Chesterfield MO,,M,95
2001,Economics,for their analyses of markets with asymmetric information,Stanford University,Stanford CA,,,A. Michael Spence,USA,Montclair NJ,,,USA,M,
